time,total_visit_cnt
201501,792668
201502,721587
201503,791714
201504,939295
201505,1015339
201506,756387
201507,995372
201508,1115123
201509,963152
201510,1096252
201511,952523
201512,900723
201601,884466
201602,879708
201603,920582
201604,1066510
201605,1095575
201606,1065241
201607,1143578
201608,1116449
201609,1027964
201610,1110276
201611,990222
201612,949388
201701,1005438
201702,905821
201703,1000871
201704,1214588
201705,1219337
201706,1187388
201707,1191311
201708,1240389
201709,1186048
201710,1229679
201711,1097987
201712,1043775
201801,1044956
201802,892863
201803,1033778
201804,1224521
201805,1205904
201806,1178012
201807,1122890
201808,1146756
201809,1098591
201810,1128247
201811,1036031
201812,976580
201901,1024130
201902,998890
201903,1038223
201904,1158666
201905,1176059
201906,1155020
201907,1157447
201908,1243132
201909,1032478
201910,1254419
201911,1177768
201912,1143772
202001,1104438
202002,599575
202003,477176
202004,541099
202005,765616
202006,860528
202007,988094
202008,1127097
202009,726169
202010,1072455
202011,1138369
202012,623062
202101,465672
202102,790712
202103,889216
202104,1078759
202105,1132368
202106,1134254
202107,1126885
202108,969818
202109,867371
202110,1218155
202111,1200047
202112,1086902
202201,1166901
202202,1026355
202203,869828
202204,1174769
202205,1301963
202206,1277848
202207,1256845
